df_2_cv,df_2_tf,df_3_cv,df_3_tf
0.7874396135265701,0.8067632850241546,0.785024154589372,0.644927536231884
0.7046004842615012,0.7046004842615012,0.6852300242130751,0.6900726392251816
0.6513317191283293,0.6513317191283293,0.648910411622276,0.6682808716707022
0.6658595641646489,0.6585956416464891,0.6343825665859564,0.6029055690072639
0.7360774818401937,0.7336561743341404,0.7506053268765133,0.7070217917675545
0.6682808716707022,0.6174334140435835,0.6634382566585957,0.7675544794188862
0.6682808716707022,0.6731234866828087,0.6416464891041163,0.639225181598063
0.6682808716707022,0.6513317191283293,0.6368038740920097,0.6174334140435835
0.7530266343825666,0.774818401937046,0.7530266343825666,0.7530266343825666
0.6682808716707022,0.6779661016949152,0.5811138014527845,0.6295399515738499
0.6690821256038647,0.6352657004830918,0.6280193236714976,0.6400966183574879
0.7602905569007264,0.6828087167070218,0.6101694915254238,0.7554479418886199
0.6634382566585957,0.648910411622276,0.6077481840193705,0.5932203389830508
0.6997578692493946,0.6900726392251816,0.6513317191283293,0.6513317191283293
0.6440677966101694,0.6585956416464891,0.612590799031477,0.6174334140435835
0.6634382566585957,0.6634382566585957,0.7457627118644068,0.6803874092009685
0.6779661016949152,0.6973365617433414,0.6876513317191283,0.6634382566585957
0.6513317191283293,0.711864406779661,0.6610169491525424,0.6634382566585957
0.6585956416464891,0.6561743341404358,0.6416464891041163,0.6174334140435835
0.6803874092009685,0.6682808716707022,0.639225181598063,0.639225181598063
0.678743961352657,0.6811594202898551,0.6376811594202898,0.642512077294686
0.6949152542372882,0.6464891041162227,0.6368038740920097,0.639225181598063
0.6246973365617433,0.6319612590799032,0.639225181598063,0.6416464891041163
0.6513317191283293,0.6731234866828087,0.6246973365617433,0.6246973365617433
0.6779661016949152,0.6295399515738499,0.7675544794188862,0.6101694915254238
0.7167070217917676,0.711864406779661,0.6876513317191283,0.6779661016949152
0.6610169491525424,0.6610169491525424,0.6440677966101694,0.5932203389830508
0.6029055690072639,0.5956416464891041,0.5980629539951574,0.6198547215496368
0.6319612590799032,0.6585956416464891,0.6077481840193705,0.5980629539951574
0.7167070217917676,0.7263922518159807,0.6924939467312349,0.6973365617433414
