Window_Size	JS_distance	Type
1	0.351392220784244	Original
1	0.354140245802013	Original
1	0.337389912262645	Original
1	0.346541391975778	Original
1	0.345292789575488	Original
1	0.320938609367755	Original
1	0.353822299535142	Original
1	0.354684525442709	Original
1	0.343136835884364	Original
1	0.347772181192565	Original
1	0.347063971681371	Original
1	0.339966177278972	Original
1	0.337799379560367	Original
1	0.332139328288915	Original
1	0.33657158229986	Original
1	0.340818936519373	Original
1	0.33649052068519	Original
1	0.343498824787003	Original
1	0.341303574262477	Original
1	0.354177634962582	Original
1	0.348937766366856	Original
1	0.345814689076645	Original
1	0.346849713860365	Original
1	0.342246582349889	Original
1	0.344430970893561	Original
1	0.355928079821211	Original
1	0.340724635223657	Original
1	0.345420692999185	Original
1	0.351324991882184	Original
1	0.353737110468673	Original
2	0.262396114490398	Original
2	0.312271014614282	Original
2	0.280512180400357	Original
2	0.272949592487387	Original
2	0.285813371455691	Original
2	0.284434835520242	Original
2	0.299121038773242	Original
2	0.301075913569836	Original
2	0.272097956494517	Original
2	0.268908561146819	Original
2	0.270108294269488	Original
2	0.272995789312974	Original
2	0.285195400513948	Original
2	0.276320774767815	Original
2	0.275715996941635	Original
2	0.274362437896544	Original
2	0.264948831756857	Original
2	0.274923742233353	Original
2	0.269870207142377	Original
2	0.282962590483756	Original
2	0.278907531184363	Original
2	0.281753931701627	Original
2	0.286395868346826	Original
2	0.256673977091858	Original
2	0.271497874950226	Original
2	0.267352540567004	Original
2	0.256270411457705	Original
2	0.281982508643025	Original
2	0.278866316881106	Original
2	0.251073042324929	Original
3	0.210021943431181	Original
3	0.214883766475786	Original
3	0.22011600320571	Original
3	0.223811064509478	Original
3	0.220156694050255	Original
3	0.21287951212175	Original
3	0.215726272763895	Original
3	0.215636697204546	Original
3	0.214467587007524	Original
3	0.218723195609286	Original
3	0.207589071871181	Original
3	0.233514057377421	Original
3	0.210280873338893	Original
3	0.220708191183839	Original
3	0.221322794421421	Original
3	0.229839751781808	Original
3	0.212398626693229	Original
3	0.223427604945946	Original
3	0.211202684006786	Original
3	0.224316210563574	Original
3	0.219612281849674	Original
3	0.2239829659546	Original
3	0.221548233714333	Original
3	0.215537468617733	Original
3	0.220554639703419	Original
3	0.220793050822583	Original
3	0.229067544242064	Original
3	0.212342262790766	Original
3	0.216754637521845	Original
3	0.223677133174278	Original
4	0.211695399814769	Original
4	0.208715989269442	Original
4	0.210509992191372	Original
4	0.219219992106377	Original
4	0.196545273405327	Original
4	0.215866825061174	Original
4	0.214212688812672	Original
4	0.218240808031741	Original
4	0.214137996799472	Original
4	0.214781392470709	Original
4	0.215709491297228	Original
4	0.201316159694004	Original
4	0.207250121956022	Original
4	0.202007920276057	Original
4	0.209645877404855	Original
4	0.213349420800026	Original
4	0.215325485653869	Original
4	0.200628560425442	Original
4	0.201662193609789	Original
4	0.218837216946138	Original
4	0.220853564810637	Original
4	0.218076952392954	Original
4	0.215796271832325	Original
4	0.216251239793274	Original
4	0.213978690729094	Original
4	0.210922973181418	Original
4	0.210377724594841	Original
4	0.209235243685786	Original
4	0.202937006393965	Original
4	0.214062967402072	Original
5	0.208425126382075	Original
5	0.211346888384209	Original
5	0.218694952826565	Original
5	0.216655437113665	Original
5	0.205537143298087	Original
5	0.212031164277433	Original
5	0.212671518328551	Original
5	0.213328694889569	Original
5	0.227019630015235	Original
5	0.214545785207177	Original
5	0.212013566482304	Original
5	0.200143326455457	Original
5	0.211021860201992	Original
5	0.216078926981119	Original
5	0.207093313985293	Original
5	0.210421396975302	Original
5	0.201764432961649	Original
5	0.217203042499763	Original
5	0.21768651343911	Original
5	0.210447400409024	Original
5	0.210439202401913	Original
5	0.208088315846881	Original
5	0.217148092909622	Original
5	0.213378996505372	Original
5	0.199320295844345	Original
5	0.202255044070249	Original
5	0.213602341102795	Original
5	0.204970656719974	Original
5	0.20763743159276	Original
5	0.214000213214657	Original
6	0.216318275270144	Original
6	0.207705702193117	Original
6	0.215381440361703	Original
6	0.200561622956996	Original
6	0.210859678989992	Original
6	0.210234792059794	Original
6	0.217377883010592	Original
6	0.204110077816943	Original
6	0.213980578101092	Original
6	0.203753118488284	Original
6	0.202695488650261	Original
6	0.212822252258107	Original
6	0.205842740178169	Original
6	0.201210097757856	Original
6	0.211184732816934	Original
6	0.217788346989597	Original
6	0.206530864181494	Original
6	0.216922258924185	Original
6	0.209987287955863	Original
6	0.211762481873572	Original
6	0.208629284629365	Original
6	0.222887518727479	Original
6	0.205195782170448	Original
6	0.202968940635855	Original
6	0.21107751956173	Original
6	0.200716359452522	Original
6	0.21071276213865	Original
6	0.207934418419002	Original
6	0.205708069376267	Original
6	0.216509353514671	Original
7	0.211096696272251	Original
7	0.207220425391636	Original
7	0.208191555256137	Original
7	0.211101444285594	Original
7	0.203655631410894	Original
7	0.198910362314328	Original
7	0.210134841921788	Original
7	0.210094613974726	Original
7	0.207870654078147	Original
7	0.208350750106649	Original
7	0.216174719304663	Original
7	0.205333977513335	Original
7	0.221826926428079	Original
7	0.210286056386777	Original
7	0.211375382651253	Original
7	0.214213276846023	Original
7	0.203059074285606	Original
7	0.211294035795209	Original
7	0.21178330450445	Original
7	0.209214453759678	Original
7	0.212542857723227	Original
7	0.212619309719369	Original
7	0.197757792164367	Original
7	0.217283614373581	Original
7	0.216978654255295	Original
7	0.216947837258019	Original
7	0.223424803752227	Original
7	0.218113064677604	Original
7	0.210929686898702	Original
7	0.214965691962874	Original
8	0.208449966353547	Original
8	0.208200574468785	Original
8	0.208149239180173	Original
8	0.220391985604837	Original
8	0.220187903958232	Original
8	0.21457838564709	Original
8	0.21958849473975	Original
8	0.211922224665044	Original
8	0.21581257732965	Original
8	0.213136796858656	Original
8	0.207645569239516	Original
8	0.220822499103335	Original
8	0.212506699867398	Original
8	0.206263020699612	Original
8	0.218074217056018	Original
8	0.204600255878706	Original
8	0.202200549031218	Original
8	0.202565394655457	Original
8	0.205605515829086	Original
8	0.200758347198381	Original
8	0.217499743196127	Original
8	0.208441566550309	Original
8	0.208522644638727	Original
8	0.215237057200784	Original
8	0.210003756317644	Original
8	0.213118550556058	Original
8	0.207898975613679	Original
8	0.213491009585459	Original
8	0.203953022308833	Original
8	0.218304068241897	Original
9	0.207038578820571	Original
9	0.198494416539196	Original
9	0.203823408000231	Original
9	0.220992736345063	Original
9	0.221473909026782	Original
9	0.214557327174503	Original
9	0.209929416848451	Original
9	0.212809444057106	Original
9	0.210297346653564	Original
9	0.211750771665213	Original
9	0.215909453020615	Original
9	0.210998271033424	Original
9	0.211343402847802	Original
9	0.211087670049228	Original
9	0.213442502122952	Original
9	0.197043390167344	Original
9	0.208530839301912	Original
9	0.216573193540877	Original
9	0.206030635437555	Original
9	0.205244008701554	Original
9	0.210455261948699	Original
9	0.204460323985285	Original
9	0.210793503688802	Original
9	0.210251450666123	Original
