df_2_cv,df_2_tf,df_3_cv,df_3_tf,df_4_cv,df_4_tf
0.7925427976721465,0.7808929102417059,0.8081644789940954,0.7748396414765728,0.8071131217875196,0.7745422879231978
0.7874240686461917,0.7725988700564972,0.802429803321864,0.7954419948175524,0.8184656556645852,0.8092158362006712
0.8211630771844867,0.82358438469054,0.8033218639819888,0.8040546280956629,0.8113397901533496,0.8082812964614927
0.7863727114396161,0.7848434645936876,0.8089397221868231,0.7919480905653965,0.8278322925958965,0.7896860796057941
0.7967808131332563,0.8023598820058998,0.8293467572998162,0.8076183147364371,0.8257342567654227,0.8088260442050361
0.7802931282007328,0.7907283207268209,0.8267158070667895,0.8092631082731578,0.8315155670787889,0.8077631832694079
0.8000814245002036,0.808009599520024,0.821123229552808,0.8193233195483083,0.8407829608519575,0.8140628682851572
0.7999528594998822,0.816902012042255,0.8540144421350362,0.8379438170948594,0.8465041033662603,0.8447899033619748
0.8019134757547837,0.8176948295442371,0.8391544708478862,0.8089309820223275,0.8491718271229296,0.8289656945724143
0.8121451070303628,0.7875141957187856,0.8246694808116737,0.7947352632368381,0.8277978958194947,0.8023741670059352
0.7925427976721465,0.7808929102417059,0.8081644789940954,0.7748396414765728,0.8071131217875196,0.7745422879231978
0.7874240686461917,0.7725988700564972,0.802429803321864,0.7954419948175524,0.8184656556645852,0.8092158362006712
0.8211630771844867,0.82358438469054,0.8033218639819888,0.8040546280956629,0.8113397901533496,0.8082812964614927
0.7863727114396161,0.7848434645936876,0.8089397221868231,0.7919480905653965,0.8278322925958965,0.7896860796057941
0.7967808131332563,0.8023598820058998,0.8293467572998162,0.8076183147364371,0.8257342567654227,0.8088260442050361
0.7802931282007328,0.7907283207268209,0.8267158070667895,0.8092631082731578,0.8315155670787889,0.8077631832694079
0.8000814245002036,0.808009599520024,0.821123229552808,0.8193233195483083,0.8407829608519575,0.8140628682851572
0.7999528594998822,0.816902012042255,0.8540144421350362,0.8379438170948594,0.8465041033662603,0.8447899033619748
0.8019134757547837,0.8176948295442371,0.8391544708478862,0.8089309820223275,0.8491718271229296,0.8289656945724143
0.8121451070303628,0.7875141957187856,0.8246694808116737,0.7947352632368381,0.8277978958194947,0.8023741670059352
0.7925427976721465,0.7808929102417059,0.8081644789940954,0.7748396414765728,0.8071131217875196,0.7745422879231978
0.7874240686461917,0.7725988700564972,0.802429803321864,0.7954419948175524,0.8184656556645852,0.8092158362006712
0.8211630771844867,0.82358438469054,0.8033218639819888,0.8040546280956629,0.8113397901533496,0.8082812964614927
0.7863727114396161,0.7848434645936876,0.8089397221868231,0.7919480905653965,0.8278322925958965,0.7896860796057941
0.7967808131332563,0.8023598820058998,0.8293467572998162,0.8076183147364371,0.8257342567654227,0.8088260442050361
0.7802931282007328,0.7907283207268209,0.8267158070667895,0.8092631082731578,0.8315155670787889,0.8077631832694079
0.8000814245002036,0.808009599520024,0.821123229552808,0.8193233195483083,0.8407829608519575,0.8140628682851572
0.7999528594998822,0.816902012042255,0.8540144421350362,0.8379438170948594,0.8465041033662603,0.8447899033619748
0.8019134757547837,0.8176948295442371,0.8391544708478862,0.8089309820223275,0.8491718271229296,0.8289656945724143
0.8121451070303628,0.7875141957187856,0.8246694808116737,0.7947352632368381,0.8277978958194947,0.8023741670059352
